Img,title,author,types,status,click_num,intro
https://bookcover.yuewen.com/qdbimg/349573/c_4145795604976503/90,神医九小姐,银瓶,玄幻言情,已完结,294.69万,                        “夫人，为夫病了，相思病，病入膏肓，药石无医，求治！”“来人，你们帝尊犯病了，上银针！”“银针无用，唯有夫人可治，为夫躺好了。” “……”她是辣手神医，一朝穿越成超级废材，咬牙发下宏愿：“命里千缺万缺，唯独不能缺男色！”他是腹黑魔帝，面上淡然一笑置之，背地里心狠手辣，掐灭她桃花一朵又一朵。                    
https://bookcover.yuewen.com/qdbimg/349573/c_16302050205238404/90,越界招惹,傅九,现代言情,已完结,112.44万,                        新书《与狼共眠》已火热刺激上线！［最野的玫瑰，躁动无人区］初见，温弦一眼就看中了陆大队长。垂、涎、欲、滴。一场爆炸，身为特种兵队长的他左耳失聪退役。陆枭叼着烟，冷漠道：“你是风光大明星，我是这鸟不拉屎无人区的队长，穷得很，你看中我什么？”温弦：“我喜欢看你是怎么亲吻我的。”陆枭一哽。燥了脸，无情走人：“不知羞耻，想都别想！”隔天。他：“心血来潮？”温弦：“处心积虑。 ”［无人区大队长vs绝美大明星，二者皆大佬，全文高甜］此书已全国出版上市，当当淘宝等皆有售卖、漫画还没上市。                    
https://bookcover.yuewen.com/qdbimg/349573/c_14573342904781604/90,娘娘她总是不上进,雪中回眸,古代言情,已完结,154.55万,                        　　世人都说静安候府嫡四女真是好福气，进宫受宠，有子嗣有家世，那可真是风光无限啊！事实上，沈初柳自个儿都不清楚怎么走到这一步的。最初是这样的，旁的妃子弹琴跳舞，沈初柳表示老娘又不是卖艺的。旁的妃子写诗画画，沈初柳表示老娘又不去考状元。人家嘲笑她不得宠，她微微一笑，老娘有家世啊。皇帝那是真没办法，嫔妃不来讨好，他还不能不见！谁叫人家娘家真给力呢？ 沈初柳那是真不在乎，那一家混账亲戚爱咋咋地，进宫就开始放飞自我。一时放飞一时爽，一直放飞就一直爽。做人嘛，做要紧是自在，要是太憋屈了，就算是皇帝老儿也不好使！                    
https://bookcover.yuewen.com/qdbimg/349573/c_7332403103193403/90,医后倾天,萧七爷,玄幻言情,已完结,264.08万,                        （原名《爆萌狐宝:神医娘亲要逆天》）她是华夏古武世家传人，刚穿越就身中暗算，随意强惹了个男人，却不料珠胎暗结。怀胎十月生下的是只小狐狸？这小狐狸还扯着她的衣服喊娘亲？好在小狐宝乖巧软萌，贴心护母，在这龙蛇混杂的大陆，母子联手大杀四方，让那些狗眼看人低的极品亲戚悔之不失。可某日，狐宝他爹找上门来，不但要抢她的孩子，连她也打算一起抢了？哪有这么好的事情？要当狐宝他爹，问过狐宝他意见了没有？某狐宝双手叉腰：“想当我爹，先交银子再去后面排队，娘亲，我觉得隔壁王叔叔挺有钱的，你给王叔叔当媳妇吧。”                    
https://bookcover.yuewen.com/qdbimg/349573/c_15581535205111404/90,大佬的心肝穿回来了,公子如雪,现代言情,已完结,135.83万,                        “四哥，我有点冷，求抱抱！”“四哥，我一个人看恐怖片害怕，你能不能陪我？！”……首富帝四爷惊讶地发现，自家作天作地的小作精，突然变成磨人小妖精。对此，帝四爷表示很欣慰：宠了十年的小心肝，可算是等到这一天了！与此同时，网友们惊讶地发现，那个黑料缠身的十八线小明星，画风突变。唱歌不跑调了，演戏不面瘫了，不作不闹不撒娇，弹琴跳舞……十八项全能。不仅如此，金牌词人是她，百变声优是她……捧红自家爱豆的制作人也是她！全网网友震惊：这不科学，你是不是穿越来的？君轻撇撇小嘴：明明我是被穿越的那个！                    
https://bookcover.yuewen.com/qdbimg/349573/c_17888002906444104/90,神医娇妻飒爆了,原来,现代言情,连载中,136.31万,                        【全宠无虐+团宠+马甲】父亲：“仟仟，虽然他是个瘫痪，可只要你嫁给他，咱们家的公司就不用破产了！”母亲：“而且你妹妹的心脏病也能得到最好的医治。”未婚夫：“这样你不但可以从他那里帮我争取到资源，还能保持身心干净！”大家都觉得景仟实惨：年纪轻轻就断送在了一个瘫痪手里。不但要在幕后帮妹妹写歌，给她打造音乐小天才人设，还要给未婚夫争取影视资源，最后却被未婚夫和渣妹双双背叛，头顶绿到发光。*哦豁！景仟穿越后睁开眼睛，就发现自己变成了一个小可怜。作为一名令人闻风丧胆的反派大佬，再世为人，当明星、做神医、开公司、调红酒、搞药妆……人生被她玩到飞起，亮瞎了那一双双曾看不起她的钛合金狗眼。可是……送走了绿茶未婚夫怎么又来了个白莲花老公，整天碰瓷她装病娇？“你瘫痪我都给你治好了，冲喜都成功了，你还要怎么样？撒手，我要离婚！”“老婆，我这里还有些不舒服。”看了一眼连装病都不走心，无论走到哪儿都跟个大型挂件一样挂她身上的男人，景仟暴躁了：“战黎川，你高冷男神的形象到底还要不要了？”                    
https://bookcover.yuewen.com/qdbimg/349573/c_13184277605283804/90,贵女重生：侯府下堂妻,夏染雪,古代言情,已完结,494.5万,                        那一世，父亲为她战死杀场，万箭穿死，大姐为她护清白，赔尽一世而她为他素手调香，为他敛尽天下财富。更为他逼死大哥，令大哥被五马分尸，死无全尸他却砍断她的十指，断她手腕，将她乱棍打死。娘说，娘的小阿凝，娘希望这一世会有被人如宝似珠的对你，为你挡去所有的疼痛，为你遮去所有的风雨，娘更你一生都是不知道何为疼痛，可是她却全身骨头碎裂，皮肉之下，仍可见那截断碗中的森森白骨。                    
https://bookcover.yuewen.com/qdbimg/349573/c_13129774004140803/90,药门仙医,凤炅,古代言情,已完结,183.14万,                        推荐我的新文《仙风药令》几句话简介：陌上人如玉，公子世无双~公子他体弱又腹黑~女主她肆意又张扬~我的完结文《天医凤九》她，出自百年隐世家族，贵为堂堂药门至尊。她，生于百年世家贵族，贵为世家传承少主。一个身死，一个魂灭，一朝易魂重生，天下风云将起！他与她，青梅竹马之情，曾许诺，玉兰花树长成之日，便是迎娶之时。他与她，初相识，便结下佛缘，一个狡黠如狐的小光头，让他印象深刻，可后来，谁来告诉他，为什么小光头会变成一个长发飘飘倾城绝美的女人？                    
https://bookcover.yuewen.com/qdbimg/349573/c_4591120804370303/90,快穿女配之反派BOSS有毒,墨泠,科幻空间,已完结,405.96万,                        【已出版，当当、淘宝火热预售中……】系统：宿主，天上那东西是什么？时笙：宇宙飞船。系统：……这是修真位面，哪里来的宇宙飞船！！系统：宿主，你手上拿的什么？时笙：轩辕剑。系统：这是科技位面，哪里来的上古神器！！等等……宿主，你在干什么Σ( ° △ °|||)︴时笙：拆CPヾ(^▽^*)))#我的宿主叼炸天，徒手拆CP#                    
https://bookcover.yuewen.com/qdbimg/349573/c_16792364604322104/90,嫡长女她又美又飒,千桦尽落,古代言情,连载中,250.33万,                        前世，镇国公府，一朝倾塌灰飞烟灭。此生，嫡长女白卿言重生一世，绝不让白家再步前世后尘。白家男儿已死，大都城再无白家立锥之地？大魏国富商萧容衍道：百年将门镇国公府白家，从不出废物，女儿家也不例外。后来……白家大姑娘，是一代战神，成就不败神话。白家二姑娘，是朝堂新贵忠勇侯府手段了得的当家主母。白家三姑娘，是天下第二富商，翻手为云覆手为雨的商界翘楚。·白卿言感念萧容衍上辈子曾帮她数次，暗中送了几次消息。雪夜，被堵城外。萧容衍：白姑娘三番四次救萧某于水火，是否心悦萧某？白卿言：萧公子误会。萧容衍：萧某三番四次救白姑娘于水火，白姑娘可否心悦萧某？白卿言：……                    
https://bookcover.yuewen.com/qdbimg/349573/c_7306207503199903/90,凤帝九倾,一季流殇,玄幻言情,已完结,294.65万,                        【完结精品】因一场梦境而来，因一张皇榜结缘。　　九皇子要成亲，娶的是一个名不见经传的女大夫，瞬间引起众怒，皇城哗然。　　公主，郡主，官家小姐，齐齐反对。　　皇上，太后，皇后……警告威胁，明枪暗箭齐上阵，只为阻止这桩婚事。　　风华绝代九殿下冷笑，“娶她，我活；不娶她，我死。”　　九个字，所有反对的声音一夜消失。　　药房中侍弄金蛇的女子云淡风轻般轻笑，带着一种俯瞰世间蝼蚁的漠然无情，“娶我？问过我的意见了？”　　“如果我现在问你呢？”深情的双眼锁在她面上，一把匕首抵在自己心口，“是你从地狱里救我出来，我以身相许。你若不愿，我将性命还你，再入阿鼻地狱。”　　“这天下，还无一人有资格娶我，更从未有人敢威胁我。”　　“那我嫁你，行吗？”                    
https://bookcover.yuewen.com/qdbimg/349573/c_12223314803756103/90,你好，King先生,锦凰,现代言情,已完结,252.99万,                        云想想上辈子是个风风光光的大明星。这辈子她想要做个兢兢业业的好演员。爱惜羽毛，宁缺毋滥，不靠粉丝数量说话，作品才是底气。脚踏实地的靠自己一步步迈向王座，却一个不小心与那位世界级大佬产生纠葛。从此以后大佬会悄悄在微博上关注她，会以送她高科技保护物品为由，制作一个只有无名指能够戴上的戒指套路她，会美其名曰他们家族以让恩人涉险为耻辱而监视她！直到她被他箍在怀里：“你现在太危险，只有做我的太太才能安全。”云想想：……                    
https://bookcover.yuewen.com/qdbimg/349573/c_3909250503560803/90,医毒双绝：冥王的天才宠妃,相思梓,玄幻言情,已完结,374.73万,                        全文完结，新文【魅医】已开，欢迎收藏养肥！拍卖盛宴上，拥有绝佳体质的少女被开出天价，人人哄抢。陡然间，金色牢笼中的少女睁开眼，寒芒四射，懦弱不再。她一朝穿越为神医府人人欺凌的废柴三小姐。经脉俱废，不能修炼？怕什么，她是绝世神医，这点伤根本不放在眼里。爹不疼，娘不爱，人人算计？哼，她有空间在手，灵宠无敌，小小纳兰府翻手可灭！容颜丑陋，没人要？眨眼恢复倾世容颜且看她一路破除万难，走上巅峰读者群：190149989                    
